City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,Lata,PT,84.49,broken clouds,40.1629,-8.3327,Casa Maquia
249,Urzhum,RU,76.3,clear sky,57.1141,49.9996,Zhivet Baba Katya I Deda Gena
250,Vityazevo,RU,80.44,few clouds,44.9931,37.2719,Altair Guest House
251,Balvi,LV,81.61,clear sky,57.1313,27.2658,Balvi Hotel
262,Ileza,RU,80.08,scattered clouds,61.0533,43.9002,"Chambres d'hôte ""La Trinité"""
263,Nioro,GM,78.57,light rain,13.35,-15.75,"Chambres d'hôte ""La Trinité"""
271,Mizdah,LY,84.85,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
273,Alexandria,EG,82.96,clear sky,31.2156,29.9553,Royal Crown Hotel
274,Sembakung,ID,80.35,overcast clouds,3.8167,117.25,"Chambres d'hôte ""La Trinité"""
279,Adrar,MR,89.89,broken clouds,20.5022,-10.0711,"Chambres d'hôte ""La Trinité"""
281,Asau,RO,83.32,clear sky,46.4333,26.4,Casa Mika Ciobanus
289,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
291,Madimba,TZ,81.32,clear sky,-10.4,40.3333,"Chambres d'hôte ""La Trinité"""
292,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
293,Buala,SB,80.15,light rain,-8.145,159.5921,Maringe Lagoon Lodge
294,Eydhafushi,MV,82.24,overcast clouds,5.1033,73.0708,Soneva Fushi
295,Yamandu,SL,76.08,light rain,7.9362,-11.4928,"Chambres d'hôte ""La Trinité"""
297,Namatanai,PG,80.2,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
298,Katete,UG,85.73,broken clouds,-0.7818,29.7544,"Chambres d'hôte ""La Trinité"""
300,Tafo,GH,77.23,broken clouds,6.7345,-1.6127,Afriyie Inn Hotel
305,Boende,CD,87.28,light rain,-0.2167,20.8667,"Chambres d'hôte ""La Trinité"""
309,Mitsamiouli,KM,82.69,few clouds,-11.3847,43.2844,Foyer ADM
311,Paracuru,BR,77.11,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
313,Ankara,TR,80.15,few clouds,39.9199,32.8543,Ramada by Wyndham Ankara
314,Saint George,US,88.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
