City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Ostrovnoy,RU,2022-07-19 06:49:13,68.0531,39.5131,60.28,69,100,8.81
221,Chuy,UY,2022-07-19 06:49:14,-33.6971,-53.4616,45.25,92,87,5.44
222,Namtsy,RU,2022-07-19 06:49:14,62.7161,129.6658,87.84,30,64,9.4
223,Torbay,CA,2022-07-19 06:49:15,47.6666,-52.7314,64.58,85,75,13.8
224,Moose Factory,CA,2022-07-19 06:49:15,51.2585,-80.6094,57.2,88,100,9.22
225,Kaitangata,NZ,2022-07-19 06:49:16,-46.2817,169.8464,44.62,84,98,7.25
226,Maldonado,UY,2022-07-19 06:49:16,-34.6667,-54.9167,40.23,88,0,1.41
227,Saravan,AM,2022-07-19 06:49:16,39.7196,45.6483,81.21,26,1,9.08
228,Bundaberg,AU,2022-07-19 06:49:17,-24.85,152.35,68.22,60,15,1.99
229,Agadez,NE,2022-07-19 06:49:17,19.75,10.25,92.41,16,93,13.49
230,Iralaya,HN,2022-07-19 06:49:18,15.0,-83.2333,79.95,86,85,15.99
231,Urdoma,RU,2022-07-19 06:49:18,61.7533,48.5442,64.78,94,100,8.39
232,Totness,SR,2022-07-19 06:49:18,5.8833,-56.3167,76.01,91,31,7.34
233,Santa Cruz,BO,2022-07-19 06:49:19,-17.8,-63.1667,63.86,94,90,5.75
234,Bubaque,GW,2022-07-19 06:40:42,11.2833,-15.8333,78.4,85,100,12.91
235,Bathsheba,BB,2022-07-19 06:49:20,13.2167,-59.5167,81.21,88,20,19.57
236,Sumbe,AO,2022-07-19 06:49:20,-11.2061,13.8437,69.58,84,82,3.94
237,Linxia,CN,2022-07-19 06:49:20,35.6003,103.2064,78.26,33,49,6.42
238,Krasnik,PL,2022-07-19 06:49:21,50.9236,22.2271,68.68,51,65,6.49
239,Noyabrsk,RU,2022-07-19 06:49:21,63.1994,75.4507,69.12,43,75,18.75
240,Provideniya,RU,2022-07-19 06:49:22,64.3833,-173.3,43.81,47,74,4.92
241,Puerto Carreno,CO,2022-07-19 06:45:12,6.189,-67.4859,75.83,89,100,3.18
242,Marataizes,BR,2022-07-19 06:49:22,-21.0433,-40.8244,66.45,86,56,6.38
243,Mahenge,TZ,2022-07-19 06:49:23,-8.6833,36.7167,63.73,72,100,2.73
244,Codajas,BR,2022-07-19 06:49:23,-3.8367,-62.0569,78.49,73,98,2.53
245,Bayanday,RU,2022-07-19 06:49:23,53.0661,105.5139,63.75,92,100,10.67
246,Broken Hill,AU,2022-07-19 06:49:24,-31.95,141.4333,51.55,40,15,11.25
247,Hendek,TR,2022-07-19 06:49:24,40.7994,30.7481,72.52,47,0,7.38
248,Athabasca,CA,2022-07-19 06:45:27,54.7169,-113.2854,61.21,89,97,7.63
249,Sisimiut,GL,2022-07-19 06:49:25,66.9395,-53.6735,44.38,94,100,3.49
250,Opuwo,NA,2022-07-19 06:49:25,-18.0607,13.84,58.59,30,0,5.88
251,Denpasar,ID,2022-07-19 06:36:34,-8.65,115.2167,83.86,74,20,13.8
252,Kasongo,CD,2022-07-19 06:49:26,-4.45,26.6667,78.08,47,100,0.85
253,Khash,IR,2022-07-19 06:49:26,28.2211,61.2158,94.26,9,100,8.41
254,Santa Maria,BR,2022-07-19 06:41:05,-29.6842,-53.8069,50.07,88,85,3.27
255,Daru,PG,2022-07-19 06:49:28,-9.0763,143.2092,77.18,91,90,16.42
256,San Patricio,US,2022-07-19 06:49:28,28.017,-97.5169,84.88,81,6,12.3
257,Tomatlan,MX,2022-07-19 06:49:29,19.9333,-105.25,76.86,85,80,1.21
258,Beringovskiy,RU,2022-07-19 06:49:29,63.05,179.3167,55.81,57,12,14.52
