City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
616,Flin Flon,CA,54.7682,-101.865,48.6,83,100,8.97,overcast clouds
617,Cherusti,RU,55.5498,40.0107,77.0,43,52,11.7,broken clouds
618,Hofn,IS,64.2539,-15.2082,55.42,88,40,5.75,scattered clouds
619,Lubango,AO,-14.9172,13.4925,71.58,22,0,10.16,clear sky
620,Bosaso,SO,11.2842,49.1816,91.38,58,0,11.5,clear sky
621,Margate,GB,51.3813,1.3862,69.12,69,100,4.0,overcast clouds
622,Padang,ID,-0.9492,100.3543,84.25,82,100,0.6,overcast clouds
623,Hargeysa,SO,9.56,44.065,80.19,41,39,28.99,scattered clouds
624,Hobyo,SO,5.3505,48.5268,81.18,67,92,26.91,overcast clouds
625,Talaya,RU,61.3833,152.75,58.8,57,3,6.53,clear sky
626,Rusape,ZW,-18.5278,32.1284,64.96,46,49,6.62,light rain
627,Ville-Marie,CA,47.3335,-79.433,53.65,93,0,4.45,clear sky
628,Lilongwe,MW,-13.9669,33.7873,73.44,37,21,10.4,few clouds
629,Harrogate,GB,53.9908,-1.5373,59.74,85,75,6.91,broken clouds
630,Amapa,BR,1.0,-52.0,69.64,99,32,1.23,scattered clouds
631,Capissayan,PH,18.0509,121.8177,84.22,75,3,8.5,clear sky
632,Porto Walter,BR,-8.2686,-72.7439,67.35,81,45,2.17,scattered clouds
633,Rawlins,US,41.7911,-107.2387,55.29,30,0,0.0,clear sky
634,Uruzgan,AF,32.8333,66.0,97.9,8,11,12.41,few clouds
635,Verkhnyaya Inta,RU,65.9811,60.3094,50.07,66,100,7.36,overcast clouds
636,Okha,RU,53.5739,142.9478,54.52,84,93,12.28,overcast clouds
637,Kingisepp,RU,59.3733,28.6134,82.0,41,100,5.28,overcast clouds
638,Mulchen,CL,-37.7167,-72.2333,50.11,93,100,5.06,light rain
639,Hit,IQ,33.6416,42.8251,105.91,13,0,10.04,clear sky
640,Mkushi,ZM,-13.6202,29.3939,73.56,38,9,9.37,clear sky
641,Roros,NO,62.5747,11.3842,51.64,66,75,12.66,broken clouds
642,Clonakilty,IE,51.6231,-8.8706,63.61,65,28,6.93,scattered clouds
643,Gamba,GA,-2.65,10.0,75.63,71,99,10.49,overcast clouds
644,Lasa,IT,46.6166,10.7002,84.69,49,0,4.27,clear sky
645,Miyako,JP,39.6367,141.9525,71.82,100,100,8.08,light rain
646,Bougouni,ML,11.417,-7.479,79.29,76,96,5.28,moderate rain
647,Show Low,US,34.2542,-110.0298,72.14,54,0,10.36,clear sky
648,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,100,100,8.05,drizzle
649,Nemuro,JP,43.3236,145.575,61.18,86,100,4.32,overcast clouds
650,Uvalde,US,29.3669,-99.767,77.32,49,100,8.05,overcast clouds
651,Marsh Harbour,BS,26.5412,-77.0636,82.4,74,0,12.91,clear sky
652,Peniche,PT,39.3558,-9.3811,78.3,85,97,14.03,overcast clouds
653,Banda Aceh,ID,5.5577,95.3222,85.03,67,100,10.49,moderate rain
654,Olga,RU,43.7444,135.2892,62.74,93,91,7.29,overcast clouds
655,Gazli,UZ,40.1333,63.45,113.65,7,0,18.95,clear sky
656,Lanigan,CA,51.8501,-105.0344,55.29,81,10,7.49,clear sky
